dmd,Antibiotic,Class,atccode,route,VmpUnit,WHO_AWaRe_2023,UK_AWaRe_2024,Include,Notes,vmp_id,vmp_nm,invalid_vmp,vtm_id,vtm_nm,atc_route,atc
Aztreonam 75mg powder and solvent for nebuliser solution vials,Aztreonam,Monobactams,J01DF01,INH,vial,r,r,1,,17463011000001100,Aztreonam 75mg powder and solvent for nebuliser solution vials,True,774725007,Aztreonam,Inhal.solution,
Aztreonam 75mg powder and solvent for nebuliser solution vials with device,Aztreonam,Monobactams,J01DF01,INH,vial,r,r,1,,17463411000001109,Aztreonam 75mg powder and solvent for nebuliser solution vials with device,False,774725007,Aztreonam,Inhal.solution,J01DF01
Bedaquiline 100mg tablets,Bedaquiline,Antimycobacterials,J04AK05,O,tablet,o,o,0,anti-TB,24565811000001107,Bedaquiline 100mg tablets,False,774747007,Bedaquiline,O,J04AK05
Benzathine benzylpenicillin 1.2million unit powder and solvent for suspension for injection vials,Benzathine-benzylpenicillin,Penicillins,J01CE08,P,vial,a,a,1,,10153111000001102,Benzathine benzylpenicillin 1.2million unit powder and solvent for suspension for injection vials,False,1234764000,Benzathine benzylpenicillin,P,J01CE08
Benzathine benzylpenicillin 1.2million unit powder for suspension for injection vials,Benzathine-benzylpenicillin,Penicillins,J01CE08,P,vial,a,a,1,,42683111000001104,Benzathine benzylpenicillin 1.2million unit powder for suspension for injection vials,False,1234764000,Benzathine benzylpenicillin,P,J01CE08
Benzathine benzylpenicillin 2.4million unit powder and solvent for suspension for injection vials,Benzathine-benzylpenicillin,Penicillins,J01CE08,P,vial,a,a,1,,10153211000001108,Benzathine benzylpenicillin 2.4million unit powder and solvent for suspension for injection vials,False,1234764000,Benzathine benzylpenicillin,P,J01CE08
Benzathine benzylpenicillin 2.4million unit powder for suspension for injection vials,Benzathine-benzylpenicillin,Penicillins,J01CE08,P,vial,a,a,1,,44168511000001109,Benzathine benzylpenicillin 2.4million unit powder for suspension for injection vials,False,1234764000,Benzathine benzylpenicillin,P,
Benzathine benzylpenicillin 600000unit powder and solvent for suspension for injection vials,Benzathine-benzylpenicillin,Penicillins,J01CE08,P,vial,a,a,1,,,,,,,,
Benzathine benzylpenicllin 900mg injection,Benzathine-benzylpenicillin,Penicillins,J01CE08,P,vial,a,a,1,,,,,,,,
Benzylpenicillin 1.2g powder for solution for injection vials,Benzylpenicillin,Penicillins,J01CE01,P,vial,a,a,1,,,,,,,,
Benzylpenicillin 1.2g/50ml infusion bags,Benzylpenicillin,Penicillins,J01CE01,P,ml,a,a,1,,,,,,,,
Benzylpenicillin 2.4g/100ml infusion bags,Benzylpenicillin,Penicillins,J01CE01,P,ml,a,a,1,,,,,,,,
Benzylpenicillin 600mg powder for solution for injection vials,Benzylpenicillin,Penicillins,J01CE01,P,vial,a,a,1,,,,,,,,
Benzylpenicillin 600mg/50ml infusion bags,Benzylpenicillin,Penicillins,J01CE01,P,ml,a,a,1,,,,,,,,
Benzylpenicillin sodium 1.2g powder for solution for injection vials,Benzylpenicillin,Penicillins,J01CE01,P,vial,a,a,1,,41942211000001105,Benzylpenicillin sodium 1.2g powder for solution for injection vials,False,774826003,Benzylpenicillin,P,J01CE01
Benzylpenicillin sodium 1.2g/50ml infusion bags,Benzylpenicillin,Penicillins,J01CE02,P,ml,a,a,1,,22097311000001100,Benzylpenicillin sodium 1.2g/50ml infusion bags,False,774826003,Benzylpenicillin,P,J01CE01
Benzylpenicillin sodium 600mg powder for solution for injection vials,Benzylpenicillin,Penicillins,J01CE01,P,vial,a,a,1,,41942311000001102,Benzylpenicillin sodium 600mg powder for solution for injection vials,False,774826003,Benzylpenicillin,P,J01CE01
Benzylpenicillin sodium 600mg/50ml infusion bags,Benzylpenicillin,Penicillins,J01CE00,P,ml,a,a,1,,22085911000001105,Benzylpenicillin sodium 600mg/50ml infusion bags,False,774826003,Benzylpenicillin,P,J01CE01
Capreomycin 1g powder for solution for injection vials,Capreomycin,Aminoglycosides,J04AB30,P,vial,o,o,0,anti-TB,41942411000001109,Capreomycin 1g powder for solution for injection vials,False,775035004,Capreomycin,P,J04AB30
Cefaclor 125mg/5ml oral suspension,Cefaclor,Second-generation-cephalosporins,J01DC04,O,ml,w,w,1,,41942511000001108,Cefaclor 125mg/5ml oral suspension,False,775086009,Cefaclor,O,J01DC04
Cefaclor 125mg/5ml oral suspension sugar free,Cefaclor,Second-generation-cephalosporins,J01DC04,O,ml,w,w,1,,36134011000001105,Cefaclor 125mg/5ml oral suspension sugar free,False,775086009,Cefaclor,O,J01DC04
Cefaclor 250mg capsules,Cefaclor,Second-generation-cephalosporins,J01DC04,O,capsule,w,w,1,,39735011000001107,Cefaclor 250mg capsules,False,775086009,Cefaclor,O,J01DC04
Cefaclor 250mg/5ml oral suspension,Cefaclor,Second-generation-cephalosporins,J01DC04,O,ml,w,w,1,,41942611000001107,Cefaclor 250mg/5ml oral suspension,False,775086009,Cefaclor,O,J01DC04
Cefaclor 250mg/5ml oral suspension sugar free,Cefaclor,Second-generation-cephalosporins,J01DC04,O,ml,w,w,1,,36134111000001106,Cefaclor 250mg/5ml oral suspension sugar free,False,775086009,Cefaclor,O,J01DC04
Cefaclor 375mg modified-release tablets,Cefaclor,Second-generation-cephalosporins,J01DC04,O,tablet,w,w,1,,36134211000001100,Cefaclor 375mg modified-release tablets,False,775086009,Cefaclor,O,J01DC04
Cefaclor 500mg capsules,Cefaclor,Second-generation-cephalosporins,J01DC04,O,capsule,w,w,1,,39735111000001108,Cefaclor 500mg capsules,False,775086009,Cefaclor,O,J01DC04
Cefadroxil 125mg/5ml oral suspension,Cefadroxil,First-generation-cephalosporins,J01DB05,O,ml,a,a,1,,41942711000001103,Cefadroxil 125mg/5ml oral suspension,False,775087000,Cefadroxil,O,J01DB05
Cefadroxil 250mg/5ml oral suspension,Cefadroxil,First-generation-cephalosporins,J01DB05,O,ml,a,a,1,,41942811000001106,Cefadroxil 250mg/5ml oral suspension,False,775087000,Cefadroxil,O,J01DB05
Cefadroxil 500mg capsules,Cefadroxil,First-generation-cephalosporins,J01DB05,O,capsule,a,a,1,,39735211000001102,Cefadroxil 500mg capsules,False,775087000,Cefadroxil,O,J01DB05
Cefadroxil 500mg/5ml oral suspension,Cefadroxil,First-generation-cephalosporins,J01DB05,O,ml,a,a,1,,41942911000001101,Cefadroxil 500mg/5ml oral suspension,False,775087000,Cefadroxil,O,J01DB05
Cefalexin 125mg/5ml oral suspension,Cefalexin,First-generation-cephalosporins,J01DB01,O,ml,a,a,1,,41943011000001109,Cefalexin 125mg/5ml oral suspension,False,775088005,Cefalexin,O,J01DB01
Cefalexin 125mg/5ml oral suspension sugar free,Cefalexin,First-generation-cephalosporins,J01DB01,O,ml,a,a,1,,4865011000001104,Cefalexin 125mg/5ml oral suspension sugar free,False,775088005,Cefalexin,O,J01DB01
Cefalexin 250mg capsules,Cefalexin,First-generation-cephalosporins,J01DB01,O,capsule,a,a,1,,39735311000001105,Cefalexin 250mg capsules,False,775088005,Cefalexin,O,J01DB01
Cefalexin 250mg tablets,Cefalexin,First-generation-cephalosporins,J01DB01,O,tablet,a,a,1,,39684111000001105,Cefalexin 250mg tablets,False,775088005,Cefalexin,O,J01DB01
Cefalexin 250mg/5ml oral suspension,Cefalexin,First-generation-cephalosporins,J01DB01,O,ml,a,a,1,,41943111000001105,Cefalexin 250mg/5ml oral suspension,False,775088005,Cefalexin,O,J01DB01
