dmd,Antibiotic,Class,atccode,route,VmpUnit,WHO_AWaRe_2023,UK_AWaRe_2024,Include,Notes,vmp_id,vmp_nm,invalid_vmp,vtm_id,vtm_nm,atc_route,atc
Colistimethate 125mg capsules for inhalation,Colistin_INH,Polymyxins,J01XB01,INH,capsule,r,r,1,,,,,,,,
Colistimethate 1662500 units  inhalation powder capsules,Colistin_INH,Polymyxins,J01XB01,INH,capsule,r,r,1,,,,,,,,
Colistimethate 1million unit powder for nebuliser solution unit dose vials,Colistin_INH,Polymyxins,J01XB01,INH,vial,r,r,1,,4256011000001107,Colistimethate 1million unit powder for nebuliser solution unit dose vials,False,775373006,Colistin,Inhal.solution,J01XB01
Colistimethate 1million unit powder for solution for injection vials,Colistin_IV,Polymyxins,J01XB01,P,vial,r,r,1,,41760311000001104,Colistimethate 1million unit powder for solution for injection vials,False,775373006,Colistin,P,J01XB01
Colistimethate 2million unit powder for nebuliser solution unit dose vials,Colistin_INH,Polymyxins,J01XB01,INH,vial,r,r,1,,32936911000001103,Colistimethate 2million unit powder for nebuliser solution unit dose vials,False,775373006,Colistin,Inhal.solution,J01XB01
Colistimethate 2million unit powder for solution for injection vials,Colistin_IV,Polymyxins,J01XB01,P,vial,r,r,1,,4638311000001106,Colistimethate 2million unit powder for solution for injection vials,False,775373006,Colistin,P,J01XB01
"Colistimethate 500,000unit powder for solution for injection vials",Colistin_IV,Polymyxins,J01XB01,P,vial,r,r,1,,41760411000001106,"Colistimethate 500,000unit powder for solution for injection vials",False,775373006,Colistin,P,J01XB01
Colistin 1.5million unit tablets,Colistin_PO,Polymyxins,A07AA10,O,tablet,r,r,0,"excl, not available in UK",39707811000001100,Colistin 1.5million unit tablets,False,775373006,Colistin,O,A07AA10
"Colistin 10,000,000units/5ml oral solution",Colistin_PO,Polymyxins,A07AA10,O,ml,r,r,0,"excl, not available in UK",24666511000001106,"Colistin 10,000,000units/5ml oral solution",False,775373006,Colistin,O,A07AA10
"Colistin 15,000,000units/5ml oral solution",Colistin_PO,Polymyxins,A07AA10,O,ml,r,r,0,"excl, not available in UK",30956811000001100,"Colistin 15,000,000units/5ml oral solution",False,775373006,Colistin,O,A07AA10
Colistin 19.5million unit powder vials,Colistin_IV,Polymyxins,A07AA10,P,vial,r,r,1,,4615111000001106,Colistin 19.5million unit powder vials,False,775373006,Colistin,O,J01XB01
Colistin 19.5million unit powder vials,Colistin_IV,Polymyxins,A07AA10,P,vial,r,r,1,,4615111000001106,Colistin 19.5million unit powder vials,False,775373006,Colistin,,J01XB01
"Colistin 250,000units/5ml oral solution",Colistin_PO,Polymyxins,A07AA10,O,ml,r,r,0,"excl, not available in UK",36091411000001104,"Colistin 250,000units/5ml oral solution",False,775373006,Colistin,O,A07AA10
Colistin 2million unit powder vials,Colistin_IV,Polymyxins,J01XB01,P,vial,r,r,1,,,,,,,,
"Colistin 5,000,000units/5ml oral solution",Colistin_PO,Polymyxins,A07AA10,O,ml,r,r,0,"excl, not available in UK",24665911000001106,"Colistin 5,000,000units/5ml oral solution",False,775373006,Colistin,O,A07AA10
Co-trimoxazole 160mg/800mg tablets,Sulfamethoxazole/trimethoprim,Sulfonamide-trimethoprim-combinations,J01EE01,O,tablet,a,a,1,,41947311000001100,Co-trimoxazole 160mg/800mg tablets,False,18037511000001105,Co-trimoxazole,O,J01EE01
Co-trimoxazole 160mg/800mg/10ml solution for infusion ampoules,Sulfamethoxazole/trimethoprim,Sulfonamide-trimethoprim-combinations,J01EE01,P,ml,a,a,1,,36091911000001107,Co-trimoxazole 160mg/800mg/10ml solution for infusion ampoules,False,18037511000001105,Co-trimoxazole,P,J01EE01
Co-trimoxazole 40mg/200mg/5ml oral suspension,Sulfamethoxazole/trimethoprim,Sulfonamide-trimethoprim-combinations,J01EE01,O,ml,a,a,1,,,,,,,,
Co-trimoxazole 40mg/200mg/5ml oral suspension sugar free,Sulfamethoxazole/trimethoprim,Sulfonamide-trimethoprim-combinations,J01EE01,O,ml,a,a,1,,35313211000001104,Co-trimoxazole 40mg/200mg/5ml oral suspension sugar free,False,18037511000001105,Co-trimoxazole,O,J01EE01
Co-trimoxazole 80mg/400mg tablets,Sulfamethoxazole/trimethoprim,Sulfonamide-trimethoprim-combinations,J01EE01,O,tablet,a,a,1,,41947411000001107,Co-trimoxazole 80mg/400mg tablets,False,18037511000001105,Co-trimoxazole,O,J01EE01
Co-trimoxazole 80mg/400mg/5ml oral suspension,Sulfamethoxazole/trimethoprim,Sulfonamide-trimethoprim-combinations,J01EE01,O,ml,a,a,1,,41947511000001106,Co-trimoxazole 80mg/400mg/5ml oral suspension,False,18037511000001105,Co-trimoxazole,O,J01EE01
Co-trimoxazole 80mg/400mg/5ml solution for infusion ampoules,Sulfamethoxazole/trimethoprim,Sulfonamide-trimethoprim-combinations,J01EE01,P,ml,a,a,1,,3653911000001100,Co-trimoxazole 80mg/400mg/5ml solution for infusion ampoules,False,18037511000001105,Co-trimoxazole,P,J01EE01
Cycloserine 250mg capsules,Cycloserine,Amino acids,J04AB01,O,capsule,o,o,0,anti-TB,41947611000001105,Cycloserine 250mg capsules,False,775425002,Cycloserine,O,J04AB01
Dalbavancin 500mg powder for solution for infusion vials,Dalbavancin,Glycopeptides,J01XA04,P,vial,r,r,1,,34377311000001104,Dalbavancin 500mg powder for solution for infusion vials,False,775437000,Dalbavancin,P,J01XA04
Daptomycin 350mg powder for solution for infusion vials,Daptomycin,Lipopeptides,J01XX09,P,vial,r,r,1,,10140911000001105,Daptomycin 350mg powder for solution for infusion vials,False,775451000,Daptomycin,P,J01XX09
Daptomycin 500mg powder for solution for infusion vials,Daptomycin,Lipopeptides,J01XX09,P,vial,r,r,1,,10961311000001108,Daptomycin 500mg powder for solution for infusion vials,False,775451000,Daptomycin,P,J01XX09
Delafloxacin 300mg powder for solution for infusion vials,Delafloxacin,Fluoroquinolones,J01MA23,P,vial,w,w,1,,38726911000001104,Delafloxacin 300mg powder for solution for infusion vials,False,775469009,Delafloxacin,P,J01MA23
Delafloxacin 450mg tablets,Delafloxacin,Fluoroquinolones,J01MA23,O,tablet,w,w,1,,38727011000001100,Delafloxacin 450mg tablets,False,775469009,Delafloxacin,O,J01MA23
Delamanid 50mg tablets,Delamanid,Antimycobacterials,J04AK06,O,tablet,o,o,0,anti-TB,27800311000001101,Delamanid 50mg tablets,False,775470005,Delamanid,O,J04AK06
Demeclocycline 150mg capsules,Demeclocycline,Tetracyclines,J01AA01,O,capsule,w,o,0,"used as an antibiotic e.g. for acne, but may be more frequently used as an inhibitor of arginine vasopressin in the therapy of hyponatremia and the syndrome of inappropriate secretion of antidiuretic hormone (SIADH)",41948011000001102,Demeclocycline 150mg capsules,False,775476004,Demeclocycline,O,J01AA01
Demeclocycline 150mg tablets,Demeclocycline,Tetracyclines,J01AA01,O,tablet,w,o,0,"used as an antibiotic e.g. for acne, but may be more frequently used as an inhibitor of arginine vasopressin in the therapy of hyponatremia and the syndrome of inappropriate secretion of antidiuretic hormone (SIADH)",41948111000001101,Demeclocycline 150mg tablets,False,775476004,Demeclocycline,O,J01AA01
Demeclocycline 150mg/5ml oral solution,Demeclocycline,Tetracyclines,J01AA01,O,ml,w,o,0,"used as an antibiotic e.g. for acne, but may be more frequently used as an inhibitor of arginine vasopressin in the therapy of hyponatremia and the syndrome of inappropriate secretion of antidiuretic hormone (SIADH)",11713311000001109,Demeclocycline 150mg/5ml oral solution,False,775476004,Demeclocycline,O,J01AA01
Demeclocycline 150mg/5ml oral suspension,Demeclocycline,Tetracyclines,J01AA01,O,ml,w,o,0,"used as an antibiotic e.g. for acne, but may be more frequently used as an inhibitor of arginine vasopressin in the therapy of hyponatremia and the syndrome of inappropriate secretion of antidiuretic hormone (SIADH)",11713411000001102,Demeclocycline 150mg/5ml oral suspension,False,775476004,Demeclocycline,O,J01AA01
Demeclocycline 300mg capsule,Demeclocycline,Tetracyclines,J01AA01,O,capsule,w,o,0,"used as an antibiotic e.g. for acne, but may be more frequently used as an inhibitor of arginine vasopressin in the therapy of hyponatremia and the syndrome of inappropriate secretion of antidiuretic hormone (SIADH)",,,,,,,
Demeclocycline 300mg capsules,Demeclocycline,Tetracyclines,J01AA01,O,capsule,w,o,0,"used as an antibiotic e.g. for acne, but may be more frequently used as an inhibitor of arginine vasopressin in the therapy of hyponatremia and the syndrome of inappropriate secretion of antidiuretic hormone (SIADH)",32785511000001100,Demeclocycline 300mg capsules,False,775476004,Demeclocycline,O,J01AA01
Demeclocycline 300mg/5ml oral solution,Demeclocycline,Tetracyclines,J01AA01,O,ml,w,o,0,"used as an antibiotic e.g. for acne, but may be more frequently used as an inhibitor of arginine vasopressin in the therapy of hyponatremia and the syndrome of inappropriate secretion of antidiuretic hormone (SIADH)",11713511000001103,Demeclocycline 300mg/5ml oral solution,False,775476004,Demeclocycline,O,J01AA01
Demeclocycline 300mg/5ml oral suspension,Demeclocycline,Tetracyclines,J01AA01,O,ml,w,o,0,"used as an antibiotic e.g. for acne, but may be more frequently used as an inhibitor of arginine vasopressin in the therapy of hyponatremia and the syndrome of inappropriate secretion of antidiuretic hormone (SIADH)",11713611000001104,Demeclocycline 300mg/5ml oral suspension,False,775476004,Demeclocycline,O,J01AA01
Demeclocycline 50mg/5ml suspension,Demeclocycline,Tetracyclines,J01AA01,O,ml,w,o,0,"used as an antibiotic e.g. for acne, but may be more frequently used as an inhibitor of arginine vasopressin in the therapy of hyponatremia and the syndrome of inappropriate secretion of antidiuretic hormone (SIADH)",,,,,,,
Demeclocycline 75mg/5ml oral solution,Demeclocycline,Tetracyclines,J01AA01,O,ml,w,o,0,"used as an antibiotic e.g. for acne, but may be more frequently used as an inhibitor of arginine vasopressin in the therapy of hyponatremia and the syndrome of inappropriate secretion of antidiuretic hormone (SIADH)",11713711000001108,Demeclocycline 75mg/5ml oral solution,False,775476004,Demeclocycline,O,J01AA01
Demeclocycline 75mg/5ml oral suspension,Demeclocycline,Tetracyclines,J01AA01,O,ml,w,o,0,"used as an antibiotic e.g. for acne, but may be more frequently used as an inhibitor of arginine vasopressin in the therapy of hyponatremia and the syndrome of inappropriate secretion of antidiuretic hormone (SIADH)",11713811000001100,Demeclocycline 75mg/5ml oral suspension,False,775476004,Demeclocycline,O,J01AA01
Doripenem 500mg powder for solution for infusion vials,Doripenem,Carbapenems,J01DH04,P,vial,w,r,1,,41948211000001107,Doripenem 500mg powder for solution for infusion vials,False,775689001,Doripenem,P,J01DH04
Doxycycline 100mg capsules,Doxycycline,Tetracyclines,J01AA02,O,capsule,a,a,1,,41948311000001104,Doxycycline 100mg capsules,False,775698003,Doxycycline,O,J01AA02
Doxycycline 100mg dispersible tablets,Doxycycline,Tetracyclines,J01AA02,O,tablet,a,a,1,,,,,,,,
Doxycycline 100mg dispersible tablets sugar free,Doxycycline,Tetracyclines,J01AA02,O,tablet,a,a,1,,39710311000001106,Doxycycline 100mg dispersible tablets sugar free,False,775698003,Doxycycline,O,J01AA02
Doxycycline 100mg injection,Doxycycline,Tetracyclines,J01AA02,P,vial,a,a,1,,,,,,,,
Doxycycline 100mg tablets,Doxycycline,Tetracyclines,J01AA02,O,tablet,a,a,1,,41948411000001106,Doxycycline 100mg tablets,False,775698003,Doxycycline,O,J01AA02
Doxycycline 100mg/5ml oral suspension,Doxycycline,Tetracyclines,J01AA02,O,ml,a,a,1,,32876211000001101,Doxycycline 100mg/5ml oral suspension,False,775698003,Doxycycline,O,J01AA02
Doxycycline 100mg/5ml solution for injection ampoules,Doxycycline,Tetracyclines,J01AA02,P,ml,a,a,1,,10455111000001100,Doxycycline 100mg/5ml solution for injection ampoules,False,775698003,Doxycycline,P,J01AA02
Doxycycline 20mg tablets,Doxycycline,Tetracyclines,J01AA02,O,tablet,a,a,1,,41948511000001105,Doxycycline 20mg tablets,False,775698003,Doxycycline,O,J01AA02
Doxycycline 36.4mg/260mg periodontal gel cartridge,Doxycycline,Tetracyclines,A01AB22,TOP,gel,a,a,0,"excl, topical/dental",28045911000001108,Doxycycline 36.4mg/260mg periodontal gel cartridge,False,775698003,Doxycycline,,A01AB22
Doxycycline 40mg modified-release capsules,Doxycycline,Tetracyclines,J01AA02,O,capsule,a,a,1,,36564611000001104,Doxycycline 40mg modified-release capsules,False,775698003,Doxycycline,O,J01AA02
Doxycycline 50mg capsules,Doxycycline,Tetracyclines,J01AA02,O,capsule,a,a,1,,41948611000001109,Doxycycline 50mg capsules,False,775698003,Doxycycline,O,J01AA02
Doxycycline 50mg/5ml oral solution,Doxycycline,Tetracyclines,J01AA02,O,ml,a,a,1,,8485211000001101,Doxycycline 50mg/5ml oral solution,False,775698003,Doxycycline,O,J01AA02
Doxycycline 50mg/5ml oral suspension,Doxycycline,Tetracyclines,J01AA02,O,ml,a,a,1,,8485311000001109,Doxycycline 50mg/5ml oral suspension,False,775698003,Doxycycline,O,J01AA02
Eravacycline 100mg powder for solution for infusion vials,Eravacycline,Tetracyclines,J01AA13,P,vial,r,r,1,,40686511000001105,Eravacycline 100mg powder for solution for infusion vials,False,775807004,Eravacycline,P,J01AA13
Ertapenem 1g powder for solution for infusion vials,Ertapenem,Carbapenems,J01DH03,P,vial,w,r,1,,4792411000001101,Ertapenem 1g powder for solution for infusion vials,False,775820001,Ertapenem,P,J01DH03
Erythromycin 0.02 solution,Erythromycin,Macrolides,J01FA01,O,ml,w,w,1,,,,,,,,
Erythromycin 1g powder for solution for infusion vials,Erythromycin,Macrolides,J01FA01,P,vial,w,w,1,,41948711000001100,Erythromycin 1g powder for solution for infusion vials,False,36409511000001108,Erythromycin lactobionate,P,J01FA01
Erythromycin 250mg gastro-resistant capsules,Erythromycin,Macrolides,J01FA01,O,capsule,w,w,1,,36064711000001106,Erythromycin 250mg gastro-resistant capsules,False,775822009,Erythromycin,O,J01FA01
Erythromycin 250mg gastro-resistant tablets,Erythromycin,Macrolides,J01FA01,O,tablet,w,w,1,,41948811000001108,Erythromycin 250mg gastro-resistant tablets,False,775822009,Erythromycin,O,J01FA01
Erythromycin ethyl succinate 125mg/5ml oral suspension,Erythromycin,Macrolides,J01FA01,O,ml,w,w,1,,41948911000001103,Erythromycin ethyl succinate 125mg/5ml oral suspension,False,36408511000001102,Erythromycin ethyl succinate,O,J01FA01
Erythromycin ethyl succinate 125mg/5ml oral suspension sugar free,Erythromycin,Macrolides,J01FA01,O,ml,w,w,1,,36564711000001108,Erythromycin ethyl succinate 125mg/5ml oral suspension sugar free,False,36408511000001102,Erythromycin ethyl succinate,O,J01FA01
Erythromycin ethyl succinate 250mg/5ml oral suspension,Erythromycin,Macrolides,J01FA01,O,ml,w,w,1,,41949011000001107,Erythromycin ethyl succinate 250mg/5ml oral suspension,False,36408511000001102,Erythromycin ethyl succinate,O,J01FA01
Erythromycin ethyl succinate 250mg/5ml oral suspension sugar free,Erythromycin,Macrolides,J01FA01,O,ml,w,w,1,,39107311000001103,Erythromycin ethyl succinate 250mg/5ml oral suspension sugar free,False,36408511000001102,Erythromycin ethyl succinate,O,J01FA01
Erythromycin ethyl succinate 500mg tablets,Erythromycin,Macrolides,J01FA01,O,tablet,w,w,1,,41949111000001108,Erythromycin ethyl succinate 500mg tablets,False,36408511000001102,Erythromycin ethyl succinate,O,J01FA01
Erythromycin ethyl succinate 500mg/5ml oral suspension,Erythromycin,Macrolides,J01FA01,O,ml,w,w,1,,41949211000001102,Erythromycin ethyl succinate 500mg/5ml oral suspension,False,36408511000001102,Erythromycin ethyl succinate,O,J01FA01
Erythromycin ethyl succinate 500mg/5ml oral suspension sugar free,Erythromycin,Macrolides,J01FA01,O,ml,w,w,1,,39107211000001106,Erythromycin ethyl succinate 500mg/5ml oral suspension sugar free,False,36408511000001102,Erythromycin ethyl succinate,O,J01FA01
Erythromycin lactobionate 1g injection,Erythromycin,Macrolides,J01FA01,P,ml,w,w,1,,,,,,,,
Erythromycin stearate 250mg tablets,Erythromycin,Macrolides,J01FA01,O,tablet,w,w,1,,41949311000001105,Erythromycin stearate 250mg tablets,False,36408611000001103,Erythromycin stearate,O,J01FA01
Erythromycin stearate 500mg tablets,Erythromycin,Macrolides,J01FA01,O,tablet,w,w,1,,41949411000001103,Erythromycin stearate 500mg tablets,False,36408611000001103,Erythromycin stearate,O,J01FA01
Ethambutol 100mg tablets,Ethambutol,Antimycobacterials,J04AK02,O,tablet,o,o,0,anti-TB,41949511000001104,Ethambutol 100mg tablets,False,775855004,Ethambutol,O,J04AK02
Ethambutol 100mg/5ml oral solution,Ethambutol,Antimycobacterials,J04AK02,O,ml,o,o,0,anti-TB,12297511000001100,Ethambutol 100mg/5ml oral solution,False,775855004,Ethambutol,O,J04AK02
Ethambutol 125mg/5ml oral solution,Ethambutol,Antimycobacterials,J04AK02,O,ml,o,o,0,anti-TB,12297611000001101,Ethambutol 125mg/5ml oral solution,False,775855004,Ethambutol,O,J04AK02
Ethambutol 150mg/5ml oral solution,Ethambutol,Antimycobacterials,J04AK02,O,ml,o,o,0,anti-TB,12297711000001105,Ethambutol 150mg/5ml oral solution,False,775855004,Ethambutol,O,J04AK02
Ethambutol 150mg/5ml oral suspension,Ethambutol,Antimycobacterials,J04AK02,O,ml,o,o,0,anti-TB,22456811000001106,Ethambutol 150mg/5ml oral suspension,False,775855004,Ethambutol,O,J04AK02
Ethambutol 1g/10ml solution for infusion vials,Ethambutol,Antimycobacterials,J04AK02,P,ml,o,o,0,anti-TB,32463811000001107,Ethambutol 1g/10ml solution for infusion vials,False,775855004,Ethambutol,P,J04AK02
Ethambutol 200mg/5ml oral solution,Ethambutol,Antimycobacterials,J04AK02,O,ml,o,o,0,anti-TB,8508611000001101,Ethambutol 200mg/5ml oral solution,False,775855004,Ethambutol,O,J04AK02
Ethambutol 200mg/5ml oral suspension,Ethambutol,Antimycobacterials,J04AK02,O,ml,o,o,0,anti-TB,8508711000001105,Ethambutol 200mg/5ml oral suspension,False,775855004,Ethambutol,O,J04AK02
Ethambutol 240mg/5ml oral solution,Ethambutol,Antimycobacterials,J04AK02,O,ml,o,o,0,anti-TB,,,,,,,
Ethambutol 250mg/5ml oral solution,Ethambutol,Antimycobacterials,J04AK02,O,ml,o,o,0,anti-TB,8508811000001102,Ethambutol 250mg/5ml oral solution,False,775855004,Ethambutol,O,J04AK02
Ethambutol 250mg/5ml oral suspension,Ethambutol,Antimycobacterials,J04AK02,O,ml,o,o,0,anti-TB,8508911000001107,Ethambutol 250mg/5ml oral suspension,False,775855004,Ethambutol,O,J04AK02
Ethambutol 25mg/5ml oral solution,Ethambutol,Antimycobacterials,J04AK02,O,ml,o,o,0,anti-TB,12297811000001102,Ethambutol 25mg/5ml oral solution,False,775855004,Ethambutol,O,J04AK02
Ethambutol 300mg/5ml oral solution,Ethambutol,Antimycobacterials,J04AK02,O,ml,o,o,0,anti-TB,8509011000001103,Ethambutol 300mg/5ml oral solution,False,775855004,Ethambutol,O,J04AK02
Ethambutol 300mg/5ml oral suspension,Ethambutol,Antimycobacterials,J04AK02,O,ml,o,o,0,anti-TB,8509111000001102,Ethambutol 300mg/5ml oral suspension,False,775855004,Ethambutol,O,J04AK02
Ethambutol 350mg/5ml oral solution,Ethambutol,Antimycobacterials,J04AK02,O,ml,o,o,0,anti-TB,12297911000001107,Ethambutol 350mg/5ml oral solution,False,775855004,Ethambutol,O,J04AK02
Ethambutol 375mg/5ml oral solution,Ethambutol,Antimycobacterials,J04AK02,O,ml,o,o,0,anti-TB,12298011000001109,Ethambutol 375mg/5ml oral solution,False,775855004,Ethambutol,O,J04AK02
Ethambutol 400mg tablets,Ethambutol,Antimycobacterials,J04AK02,O,tablet,o,o,0,anti-TB,41949611000001100,Ethambutol 400mg tablets,False,775855004,Ethambutol,O,J04AK02
Ethambutol 400mg/5ml oral solution,Ethambutol,Antimycobacterials,J04AK02,O,ml,o,o,0,anti-TB,8509211000001108,Ethambutol 400mg/5ml oral solution,False,775855004,Ethambutol,O,J04AK02
Ethambutol 400mg/5ml oral suspension,Ethambutol,Antimycobacterials,J04AK02,O,ml,o,o,0,anti-TB,8509411000001107,Ethambutol 400mg/5ml oral suspension,False,775855004,Ethambutol,O,J04AK02
Ethambutol 450mg/5ml oral solution,Ethambutol,Antimycobacterials,J04AK02,O,ml,o,o,0,anti-TB,12298111000001105,Ethambutol 450mg/5ml oral solution,False,775855004,Ethambutol,O,J04AK02
Ethambutol 500mg/5ml oral solution,Ethambutol,Antimycobacterials,J04AK02,O,ml,o,o,0,anti-TB,8509511000001106,Ethambutol 500mg/5ml oral solution,False,775855004,Ethambutol,O,J04AK02
Ethambutol 500mg/5ml oral suspension,Ethambutol,Antimycobacterials,J04AK02,O,ml,o,o,0,anti-TB,8509611000001105,Ethambutol 500mg/5ml oral suspension,False,775855004,Ethambutol,O,J04AK02
Ethambutol 50mg/5ml oral solution,Ethambutol,Antimycobacterials,J04AK02,O,ml,o,o,0,anti-TB,12298211000001104,Ethambutol 50mg/5ml oral solution,False,775855004,Ethambutol,O,J04AK02
Ethambutol 600mg/5ml oral solution,Ethambutol,Antimycobacterials,J04AK02,O,ml,o,o,0,anti-TB,8509711000001101,Ethambutol 600mg/5ml oral solution,False,775855004,Ethambutol,O,J04AK02
Ethambutol 600mg/5ml oral suspension,Ethambutol,Antimycobacterials,J04AK02,O,ml,o,o,0,anti-TB,8509911000001104,Ethambutol 600mg/5ml oral suspension,False,775855004,Ethambutol,O,J04AK02
Ethambutol 700mg/5ml oral solution,Ethambutol,Antimycobacterials,J04AK02,O,ml,o,o,0,anti-TB,12298311000001107,Ethambutol 700mg/5ml oral solution,False,775855004,Ethambutol,O,J04AK02
Fidaxomicin 200mg tablets,Fidaxomicin,Macrolides,A07AA12,O,tablet,w,w,1,,41949811000001101,Fidaxomicin 200mg tablets,False,775961002,Fidaxomicin,O,A07AA12
Fidaxomicin 40mg/ml oral suspension sugar free,Fidaxomicin,Macrolides,A07AA12,O,ml,w,w,1,,40558211000001107,Fidaxomicin 40mg/ml oral suspension sugar free,False,775961002,Fidaxomicin,O,A07AA12
Flucloxacillin 125mg / 5ml oral solution sugar free,Flucloxacillin,Penicillins,J01CF05,O,ml,a,a,1,,7526011000001106,Flucloxacillin 125mg / 5ml oral solution sugar free,True,,,O,
Flucloxacillin 125mg/5ml oral elixir,Flucloxacillin,Penicillins,J01CF05,O,ml,a,a,1,,,,,,,,
Flucloxacillin 125mg/5ml oral elixir/suspension,Flucloxacillin,Penicillins,J01CF05,O,ml,a,a,1,,,,,,,,
Flucloxacillin 125mg/5ml oral solution,Flucloxacillin,Penicillins,J01CF05,O,ml,a,a,1,,41949911000001106,Flucloxacillin 125mg/5ml oral solution,False,775979003,Flucloxacillin,O,J01CF05
Flucloxacillin 125mg/5ml oral solution sugar free,Flucloxacillin,Penicillins,J01CF05,O,ml,a,a,1,,16089611000001103,Flucloxacillin 125mg/5ml oral solution sugar free,False,775979003,Flucloxacillin,O,J01CF05
Flucloxacillin 125mg/5ml oral suspension,Flucloxacillin,Penicillins,J01CF05,O,ml,a,a,1,,41950011000001102,Flucloxacillin 125mg/5ml oral suspension,False,775979003,Flucloxacillin,O,J01CF05
Flucloxacillin 1g powder for solution for injection vials,Flucloxacillin,Penicillins,J01CF05,P,vial,a,a,1,,41950111000001101,Flucloxacillin 1g powder for solution for injection vials,False,775979003,Flucloxacillin,P,J01CF05
Flucloxacillin 1g powder for solution for injection vials,Flucloxacillin,Penicillins,J01CF05,P,vial,a,a,1,,41950111000001101,Flucloxacillin 1g powder for solution for injection vials,False,775979003,Flucloxacillin,Inhal.solution,J01CF05
Flucloxacillin 1g powder for solution for injection vials,Flucloxacillin,Penicillins,J01CF05,P,vial,a,a,1,,41950111000001101,Flucloxacillin 1g powder for solution for injection vials,False,775979003,Flucloxacillin,,J01CF05
Flucloxacillin 1g/50ml infusion bags,Flucloxacillin,Penicillins,J01CF05,P,ml,a,a,1,,22488711000001108,Flucloxacillin 1g/50ml infusion bags,False,775979003,Flucloxacillin,P,J01CF05
Flucloxacillin 250mg capsules,Flucloxacillin,Penicillins,J01CF05,O,capsule,a,a,1,,39692111000001101,Flucloxacillin 250mg capsules,False,775979003,Flucloxacillin,O,J01CF05
Flucloxacillin 250mg powder for solution for injection vials,Flucloxacillin,Penicillins,J01CF05,P,vial,a,a,1,,41950211000001107,Flucloxacillin 250mg powder for solution for injection vials,False,775979003,Flucloxacillin,P,J01CF05
Flucloxacillin 250mg powder for solution for injection vials,Flucloxacillin,Penicillins,J01CF05,P,vial,a,a,1,,41950211000001107,Flucloxacillin 250mg powder for solution for injection vials,False,775979003,Flucloxacillin,Inhal.solution,J01CF05
Flucloxacillin 250mg powder for solution for injection vials,Flucloxacillin,Penicillins,J01CF05,P,vial,a,a,1,,41950211000001107,Flucloxacillin 250mg powder for solution for injection vials,False,775979003,Flucloxacillin,,J01CF05
Flucloxacillin 250mg/5ml oral elixir/suspension,Flucloxacillin,Penicillins,J01CF05,O,ml,a,a,1,,,,,,,,
Flucloxacillin 250mg/5ml oral solution,Flucloxacillin,Penicillins,J01CF05,O,ml,a,a,1,,41950311000001104,Flucloxacillin 250mg/5ml oral solution,False,775979003,Flucloxacillin,O,J01CF05
Flucloxacillin 250mg/5ml oral solution sugar free,Flucloxacillin,Penicillins,J01CF05,O,ml,a,a,1,,16089711000001107,Flucloxacillin 250mg/5ml oral solution sugar free,False,775979003,Flucloxacillin,O,J01CF05
Flucloxacillin 250mg/5ml oral suspension,Flucloxacillin,Penicillins,J01CF05,O,ml,a,a,1,,41950411000001106,Flucloxacillin 250mg/5ml oral suspension,False,775979003,Flucloxacillin,O,J01CF05
Flucloxacillin 2g in 100ml,Flucloxacillin,Penicillins,J01CF05,P,ml,a,a,1,,,,,,,,
Flucloxacillin 2g in sodium chloride 0.9% infusion 100ml,Flucloxacillin,Penicillins,J01CF05,P,ml,a,a,1,,,,,,,,
Flucloxacillin 2g powder for solution for injection vials,Flucloxacillin,Penicillins,J01CF05,P,vial,a,a,1,,34769611000001109,Flucloxacillin 2g powder for solution for injection vials,False,775979003,Flucloxacillin,P,J01CF05
Flucloxacillin 2g/100ml infusion bags,Flucloxacillin,Penicillins,J01CF05,P,ml,a,a,1,,35166211000001101,Flucloxacillin 2g/100ml infusion bags,False,775979003,Flucloxacillin,P,J01CF05
Flucloxacillin 4g in nacl + buffer (17.4mg/ml) infusion,Flucloxacillin,Penicillins,J01CF05,P,ml,a,a,1,,,,,,,,
Flucloxacillin 500mg capsules,Flucloxacillin,Penicillins,J01CF05,O,capsule,a,a,1,,39692211000001107,Flucloxacillin 500mg capsules,False,775979003,Flucloxacillin,O,J01CF05
Flucloxacillin 500mg powder for solution for injection vials,Flucloxacillin,Penicillins,J01CF05,P,vial,a,a,1,,41950511000001105,Flucloxacillin 500mg powder for solution for injection vials,False,775979003,Flucloxacillin,P,J01CF05
Flucloxacillin 500mg powder for solution for injection vials,Flucloxacillin,Penicillins,J01CF05,P,vial,a,a,1,,41950511000001105,Flucloxacillin 500mg powder for solution for injection vials,False,775979003,Flucloxacillin,Inhal.solution,J01CF05
Flucloxacillin 500mg powder for solution for injection vials,Flucloxacillin,Penicillins,J01CF05,P,vial,a,a,1,,41950511000001105,Flucloxacillin 500mg powder for solution for injection vials,False,775979003,Flucloxacillin,,J01CF05
Flucloxacillin 500mg/50ml infusion bags,Flucloxacillin,Penicillins,J01CF05,P,ml,a,a,1,,22489111000001100,Flucloxacillin 500mg/50ml infusion bags,False,775979003,Flucloxacillin,P,J01CF05
Flucloxacillin 8000mg/250ml Infusion bags,Flucloxacillin,Penicillins,J01CF05,P,ml,a,a,1,,,,,,,,
Flucloxacillin 8000mg/250ml infusion bags,Flucloxacillin,Penicillins,J01CF05,P,ml,a,a,1,,,,,,,,
