Antibiotic,vtm_nm,vtm_id,vmp_nm,vmp_id,vmp_atc_route,atc_route,aware_2019,aware_2024
Cefepime,Cefepime,775095001,Cefepime 1g powder for solution for injection vials,36458411000001105,P,,Watch,Watch
Cefepime,Cefepime,775095001,Cefepime 2g powder for solution for injection vials,36458511000001109,P,,Watch,Watch
Cefepime,Cefepime + Enmetazobactam,42894211000001100,Cefepime 2g / Enmetazobactam 500mg powder for solution for infusion vials,42894511000001102,P,,Watch,Watch
Cefiderocol,Cefiderocol,830205006,Cefiderocol 1g powder for solution for infusion vials,39002611000001100,P,,Reserve,Reserve
Cefixime,Cefixime,775097009,Cefixime 200mg tablets,41943211000001104,O,,Watch,Watch
Cefixime,Cefixime,775097009,Cefixime 100mg/5ml oral suspension,36134411000001101,O,,Watch,Watch
Cefixime,Cefixime,775097009,Cefixime 400mg tablets,41943311000001107,O,,Watch,Watch
Cefotaxime,Cefotaxime,775103002,Cefotaxime 1g/50ml infusion bags,44009011000001100,P,,Watch,Watch
Cefotaxime,Cefotaxime,775103002,Cefotaxime 2g/100ml infusion bags,44007911000001108,P,,Watch,Watch
Cefotaxime,Cefotaxime,775103002,Cefotaxime 1g powder for solution for injection vials,41943411000001100,P,,Watch,Watch
Cefotaxime,Cefotaxime,775103002,Cefotaxime 500mg powder for solution for injection vials,41943511000001101,P,,Watch,Watch
Cefotaxime,Cefotaxime,775103002,Cefotaxime 2g powder for solution for injection vials,4558311000001100,P,,Watch,Watch
Cefoxitin,Cefoxitin,775107001,Cefoxitin 1g powder for solution for injection vials,41943611000001102,P,,Watch,Watch
Cefoxitin,Cefoxitin,775107001,Cefoxitin 2g powder for solution for injection vials,41943711000001106,P,,Watch,Watch
Cefradine,Cefradine,775112000,Cefradine 250mg capsules,41944511000001103,O,,Watch,Access
Cefradine,Cefradine,775112000,Cefradine 500mg capsules,41944611000001104,O,,Watch,Access
Cefradine,Cefradine,775112000,Cefradine 1g powder for solution for injection vials,41944411000001102,P,,Watch,Access
Cefradine,Cefradine,775112000,Cefradine 500mg powder for solution for injection vials,41944711000001108,P,,Watch,Access
Cefradine,Cefradine,775112000,Cefradine 250mg/5ml oral solution,36134511000001102,O,,Watch,Access
Ceftaroline fosamil,Ceftaroline fosamil,21387311000001104,Ceftaroline fosamil 600mg powder for solution for infusion vials,21386911000001101,P,,Reserve,Reserve
Ceftazidime,Ceftazidime,775115003,Ceftazidime 2mg/0.1ml solution for injection pre-filled syringes,40558111000001101,,,Watch,Watch
Ceftazidime,Ceftazidime,775115003,Ceftazidime 1g/50ml solution for infusion pre-filled injection devices,22455011000001109,P,,Watch,Watch
Ceftazidime,Ceftazidime,775115003,Ceftazidime 1g/50ml infusion bags,22097911000001104,P,,Watch,Watch
Ceftazidime,Ceftazidime,775115003,Ceftazidime 1g/25ml solution for infusion pre-filled syringes,22098511000001105,P,,Watch,Watch
Ceftazidime,Ceftazidime,775115003,Ceftazidime 5% eye drops preservative free,21230911000001100,,,Watch,Watch
Ceftazidime,Ceftazidime,775115003,Ceftazidime 2g intravenous infusion vials,323856006,P,,Watch,Watch
Ceftazidime,Ceftazidime,775115003,Ceftazidime 1g powder for solution for injection vials,41944811000001100,P,,Watch,Watch
Ceftazidime,Ceftazidime,775115003,Ceftazidime 250mg powder for solution for injection vials,41944911000001105,P,,Watch,Watch
Ceftazidime,Ceftazidime,775115003,Ceftazidime 500mg powder for solution for injection vials,41945211000001100,P,,Watch,Watch
Ceftazidime,Ceftazidime,775115003,Ceftazidime 2g powder for solution for injection vials,41945011000001105,P,,Watch,Watch
Ceftazidime,Ceftazidime,775115003,Ceftazidime 3g powder for solution for injection vials,41945111000001106,P,,Watch,Watch
Ceftazidime + Avibactam,Ceftazidime + Avibactam,781300005,Ceftazidime 2g / Avibactam 500mg powder for solution for infusion vials,34179911000001103,P,,Reserve,Reserve
Ceftobiprole,Ceftobiprole,1287090001,Ceftobiprole 500mg powder for solution for infusion vials,31008911000001103,P,,Reserve,Reserve
Ceftolozane + Tazobactam,Ceftolozane + Tazobactam,775119009,Ceftolozane 1g / Tazobactam 500mg powder for solution for infusion vials,31007811000001109,P,,Reserve,Reserve
Ceftriaxone,Ceftriaxone,775120003,Ceftriaxone 2g powder for solution for infusion vials,23107411000001109,P,,Watch,Watch
Ceftriaxone,Ceftriaxone,775120003,Ceftriaxone 1g/50ml infusion bags,22102411000001102,P,,Watch,Watch
Ceftriaxone,Ceftriaxone,775120003,Ceftriaxone 1g powder for solution for injection vials,41945311000001108,P,,Watch,Watch
Ceftriaxone,Ceftriaxone,775120003,Ceftriaxone 250mg powder for solution for injection vials,41945511000001102,P,,Watch,Watch
Ceftriaxone,Ceftriaxone,775120003,Ceftriaxone 2g powder for solution for injection vials,41945611000001103,P,,Watch,Watch
Cefuroxime,Cefuroxime,775121004,Cefuroxime 3mg/0.3ml solution for injection pre-filled syringes,30791311000001104,,,Watch,Watch
Cefuroxime,Cefuroxime,775121004,Cefuroxime 1.5g/50ml infusion bags,35893011000001107,P,,Watch,Watch
Cefuroxime,Cefuroxime,775121004,Cefuroxime 750mg/50ml infusion bags,35893111000001108,P,,Watch,Watch
Cefuroxime,Cefuroxime,775121004,Cefuroxime 1.5g/100ml infusion bags,23683311000001109,P,,Watch,Watch
Cefuroxime,Cefuroxime,775121004,Cefuroxime 300micrograms/0.3ml solution for injection pre-filled syringes,22104011000001100,,,Watch,Watch
Cefuroxime,Cefuroxime,775121004,Cefuroxime 1mg/0.1ml solution for injection pre-filled syringes,22041211000001105,,,Watch,Watch
Cefuroxime,Cefuroxime,775121004,Cefuroxime 50mg powder for solution for injection vials,21797311000001102,,,Watch,Watch
Cefuroxime,Cefuroxime,775121004,Cefuroxime 125mg/5ml oral suspension,41945811000001104,O,,Watch,Watch
Cefuroxime,Cefuroxime,775121004,Cefuroxime 250mg tablets,39694611000001101,O,,Watch,Watch
Cefuroxime,Cefuroxime,775121004,Cefuroxime 125mg tablets,39684511000001101,O,,Watch,Watch
Cefuroxime,Cefuroxime,775121004,Cefuroxime 125mg granules for oral suspension sachets,41945711000001107,O,,Watch,Watch
Cefuroxime,Cefuroxime,775121004,Cefuroxime 750mg powder for solution for injection vials,36134711000001107,P,,Watch,Watch
Cefuroxime,Cefuroxime,775121004,Cefuroxime 1.5g powder for solution for injection vials,4557611000001106,P,,Watch,Watch
Cefuroxime,Cefuroxime,775121004,Cefuroxime 250mg powder for solution for injection vials,41945911000001109,P,,Watch,Watch
Cefuroxime,Cefuroxime,775121004,Cefuroxime 5% eye drops preservative free,36134611000001103,,,Watch,Watch
Cefuroxime,Cefuroxime,775121004,Cefuroxime 5% eye drops,15773911000001101,,,Watch,Watch
Chloramphenicol,Chloramphenicol,775160002,Chloramphenicol 0.5% eye drops,42186611000001102,,,Watch,Watch
